study_accession	sample_id	sample_accession	replicate_id	run_accession	experiment_accession	ftp_R1	ftp_R2
PRJEB86111	GSP5ZP	SAMEA117961233	GSP5ZP_Rep2	ERR14791406	ERX14196193	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791406/GSP5ZP_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791406/GSP5ZP_Rep2.R2.fastq.gz
PRJEB86111	GSP5ZP	SAMEA117961233	GSP5ZP_Rep3	ERR14791407	ERX14196194	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791407/GSP5ZP_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791407/GSP5ZP_Rep3.R2.fastq.gz
PRJEB86111	GTBDXE	SAMEA117961203	GTBDXE_Rep1	ERR14791366	ERX14196153	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791366/GTBDXE_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791366/GTBDXE_Rep1.R2.fastq.gz
PRJEB86111	GTBDXE	SAMEA117961203	GTBDXE_Rep2	ERR14791367	ERX14196154	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791367/GTBDXE_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791367/GTBDXE_Rep2.R2.fastq.gz
PRJEB86111	GTBDXE	SAMEA117961203	GTBDXE_Rep3	ERR14791368	ERX14196155	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791368/GTBDXE_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791368/GTBDXE_Rep3.R2.fastq.gz
PRJEB86111	GU248M	SAMEA117961207	GU248M_Rep1	ERR14791369	ERX14196156	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791369/GU248M_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791369/GU248M_Rep1.R2.fastq.gz
PRJEB86111	GU248M	SAMEA117961207	GU248M_Rep2	ERR14791370	ERX14196157	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791370/GU248M_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791370/GU248M_Rep2.R2.fastq.gz
PRJEB86111	GU248M	SAMEA117961207	GU248M_Rep3	ERR14791371	ERX14196158	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791371/GU248M_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791371/GU248M_Rep3.R2.fastq.gz
PRJEB86111	GUFP6B	SAMEA117961228	GUFP6B_Rep1	ERR14791372	ERX14196159	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791372/GUFP6B_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791372/GUFP6B_Rep1.R2.fastq.gz
PRJEB86111	GUFP6B	SAMEA117961228	GUFP6B_Rep2	ERR14791373	ERX14196160	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791373/GUFP6B_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791373/GUFP6B_Rep2.R2.fastq.gz
PRJEB86111	GUFP6B	SAMEA117961228	GUFP6B_Rep3	ERR14791374	ERX14196161	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791374/GUFP6B_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791374/GUFP6B_Rep3.R2.fastq.gz
PRJEB86111	GUSA7Z	SAMEA117961199	GUSA7Z_Rep1	ERR14791375	ERX14196162	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791375/GUSA7Z_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791375/GUSA7Z_Rep1.R2.fastq.gz
PRJEB86111	GUSA7Z	SAMEA117961199	GUSA7Z_Rep2	ERR14791376	ERX14196163	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791376/GUSA7Z_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791376/GUSA7Z_Rep2.R2.fastq.gz
PRJEB86111	GUSA7Z	SAMEA117961199	GUSA7Z_Rep3	ERR14791377	ERX14196164	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791377/GUSA7Z_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791377/GUSA7Z_Rep3.R2.fastq.gz
PRJEB86111	GX8EZC	SAMEA117961211	GX8EZC_Rep1	ERR14791378	ERX14196165	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791378/GX8EZC_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791378/GX8EZC_Rep1.R2.fastq.gz
PRJEB86111	GX8EZC	SAMEA117961211	GX8EZC_Rep2	ERR14791379	ERX14196166	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791379/GX8EZC_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791379/GX8EZC_Rep2.R2.fastq.gz
PRJEB86111	GX8EZC	SAMEA117961211	GX8EZC_Rep3	ERR14791380	ERX14196167	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791380/GX8EZC_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791380/GX8EZC_Rep3.R2.fastq.gz
PRJEB86111	GXZY27	SAMEA117961223	GXZY27_Rep1	ERR14791381	ERX14196168	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791381/GXZY27_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791381/GXZY27_Rep1.R2.fastq.gz
PRJEB86111	GXZY27	SAMEA117961223	GXZY27_Rep2	ERR14791382	ERX14196169	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791382/GXZY27_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791382/GXZY27_Rep2.R2.fastq.gz
PRJEB86111	GXZY27	SAMEA117961223	GXZY27_Rep3	ERR14791383	ERX14196170	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791383/GXZY27_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791383/GXZY27_Rep3.R2.fastq.gz
PRJEB86111	GY8K8O	SAMEA117961195	GY8K8O_Rep1	ERR14791384	ERX14196171	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791384/GY8K8O_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791384/GY8K8O_Rep1.R2.fastq.gz
PRJEB86111	GY8K8O	SAMEA117961195	GY8K8O_Rep2	ERR14791385	ERX14196172	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791385/GY8K8O_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791385/GY8K8O_Rep2.R2.fastq.gz
